Company_Code,Company_Name,Market_Type,Security_Code,Sector,Market_Cap,Last_Price,PE,DY,ROE
SAB,SOUTHERN ACIDS (M) BERHAD,MAIN,5134,Chemicals,449.14m,3.28,16.28,1.52,3.56
SAFETY,SAFETYWARE GROUP BERHAD,LEAP,03056,"Industrial Materials, Components & Equipment",60.65m,0.19,-,0.00,-
SALCON,SALCON BERHAD,MAIN,8567,"Gas, Water & Multi-utilities",187.30m,0.19,-,0.00,-5.45
SALUTE,SALUTICA BERHAD,MAIN,0183,Personal Goods,213.25m,0.50,-,0.00,-23.98
SAM,SAM ENGINEERING & EQUIPMENT (M) BERHAD,MAIN,9822,"Industrial Materials, Components & Equipment",2.426b,4.48,28.26,0.56,9.97
SAMAIDEN,SAMAIDEN GROUP BERHAD,MAIN,0223,Industrial Services,489.12m,1.20,48.58,0.42,9.80
SAMCHEM,SAMCHEM HOLDINGS BERHAD,MAIN,5147,Chemicals,266.56m,0.49,16.33,6.53,5.88
SANCY,SANCY BERHAD,LEAP,03057,Software,224.13m,0.33,-,0.00,-
SANICHI,SANICHI TECHNOLOGY BERHAD,ACE,0133,"Industrial Materials, Components & Equipment",28.06m,0.02,-,0.00,-11.89
SAPIND,SAPURA INDUSTRIAL BERHAD,MAIN,7811,Auto Parts,62.22m,0.86,7.51,6.90,7.70
SAPNRG,SAPURA ENERGY BERHAD,MAIN,5218,"Energy Infrastructure, Equipment & Services",798.95m,0.05,-,0.00,-
SAPRES,SAPURA RESOURCES BERHAD,MAIN,4596,Property,57.24m,0.41,0.82,0.00,39.29
SASBADI,SASBADI HOLDINGS BERHAD,MAIN,5252,Media,78.07m,0.18,8.29,2.78,6.03
SAUDEE,SAUDEE GROUP BERHAD,MAIN,5157,Food & Beverages,44.63m,0.03,-,0.00,-4.12
SBAGAN,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,MAIN,2569,Plantation,216.24m,3.26,13.45,2.15,2.48
SBCCORP,SBC CORPORATION BERHAD,MAIN,5207,Property,101.96m,0.40,1316.67,0.00,0.02
SCABLE,SARAWAK CABLE BERHAD,MAIN,5170,"Industrial Materials, Components & Equipment",21.94m,0.06,-,0.00,-
SCBUILD,SC ESTATE BUILDER BERHAD,ACE,0109,Construction,42.96m,0.04,-,0.00,-
SCC,SCC HOLDINGS BERHAD,ACE,0158,Consumer Services,45.17m,0.32,32.99,3.12,2.98
SCGBHD,SOUTHERN CABLE GROUP BERHAD,MAIN,0225,"Industrial Materials, Components & Equipment",304.00m,0.38,16.17,0.74,6.35
SCGM,SCGM BHD,MAIN,7247,Packaging Materials,106.48m,0.55,0.35,11.67,275.16
SCIB,SARAWAK CONSOLIDATED INDUSTRIES BERHAD,MAIN,9237,Building Materials,320.12m,0.50,-,0.00,-29.31
SCICOM,SCICOM (MSC) BERHAD,MAIN,0099,Industrial Services,380.34m,1.07,11.76,7.48,27.58
SCIENTX,SCIENTEX BERHAD,MAIN,4731,Packaging Materials,5.723b,3.69,13.06,2.71,12.90
SCIPACK,SCIENTEX PACKAGING (AYER KEROH) BERHAD,MAIN,8125,Packaging Materials,807.69m,2.30,22.48,2.17,9.39
SCNWOLF,SCANWOLF CORPORATION BERHAD,MAIN,7239,Building Materials,92.43m,0.47,-,0.00,-17.24
SCOMIES,SCOMI ENERGY SERVICES BHD,MAIN,7045,"Energy Infrastructure, Equipment & Services",2.34m,0.01,-,0.00,-620.33
SCOMNET,SUPERCOMNET TECHNOLOGIES BERHAD,MAIN,0001,Health Care Equipment & Services,1.072b,1.36,35.14,1.47,8.41
SCOPE,SCOPE INDUSTRIES BERHAD,ACE,0028,"Industrial Materials, Components & Equipment",178.82m,0.16,221.43,0.00,0.39
SDRED,SELANGOR DREDGING BERHAD,MAIN,2224,Property,247.15m,0.58,14.32,4.31,1.98
SDS,SDS GROUP BERHAD,MAIN,0212,Food & Beverages,239.63m,0.59,9.61,2.14,23.42
SEACERA,SEACERA GROUP BERHAD,MAIN,7073,Building Materials,143.10m,0.23,18.85,0.00,1.06
SEAL,SEAL INCORPORATED BERHAD,MAIN,4286,Property,214.35m,0.51,18.28,0.00,2.62
SEALINK,SEALINK INTERNATIONAL BERHAD,MAIN,5145,Transportation Equipment,107.50m,0.22,-,0.00,-4.67
SEB,SEREMBAN ENGINEERING BERHAD,MAIN,5163,Industrial Engineering,65.20m,0.82,14.10,0.00,13.44
SEDANIA,SEDANIA INNOVATOR BERHAD,ACE,0178,Telecommunications Equipment,60.79m,0.18,20.83,0.00,6.51
SEEHUP,SEE HUP CONSOLIDATED BERHAD,MAIN,7053,Transportation & Logistics Services,76.00m,0.95,-,3.81,-3.70
SEERS,SEERS BERHAD,LEAP,03009,Household Goods,25.76m,0.10,-,0.00,-
SEG,SEG INTERNATIONAL BHD,MAIN,9792,Consumer Services,829.06m,0.66,31.34,7.63,19.00
SEM,7-ELEVEN MALAYSIA HOLDINGS BERHAD,MAIN,5250,Retailers,2.343b,2.00,40.90,2.70,47.02
SENDAI,EVERSENDAI CORPORATION BERHAD,MAIN,5205,Construction,113.26m,0.15,-,0.00,-77.47
SENFONG,SENG FONG HOLDINGS BERHAD,MAIN,5308,Industrial Services,386.63m,0.75,17.09,4.03,13.21
SENHENG,SENHENG NEW RETAIL BERHAD,MAIN,5305,Retailers,555.00m,0.37,11.49,3.24,9.10
SENTRAL,SENTRAL REIT,MAIN,5123,Real Estate Investment Trusts,884.22m,0.83,18.13,8.27,3.89
SERBADK,SERBA DINAMIK HOLDINGS BERHAD,MAIN,5279,"Energy Infrastructure, Equipment & Services",74.54m,0.02,-,0.00,-200.76
